ID,Smiles,Erythrocyte-3D7 (IC50 - uM),Erythrocyte-3D7 pIC50
MMV1899620,Clc1cc(cnc1N2CCN(CC2)c3ccncc3)C(=O)NCc4ccccc4,1.5,5.823908741
MMV1899621,OCCNC(=O)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,25,4.602059991
MMV1899622,c1c(c(ncc1C(=O)NCc2ccc(o2)C)N3CCN(c4ccncc4)CC3)Cl,2.17,5.663540266
MMV1899623,c1nc(c(cc1C(=O)NCc2cc(F)ccc2)Cl)N3CCN(c4ccncc4)CC3,0.972,6.012333735
MMV1899624,C1CN(CCN1c(ccn2)cc2)c3ncc(cc3Cl)C(NCCCN4CCOCC4)=O,5.09,5.293282218
MMV1899625,n1ccc(cc1)N2CCN(c3c(cc(C(NCCS(=O)(C)=O)=O)cn3)Cl)CC2,25,4.602059991
MMV1899626,CC(C)(CNC(c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1)=O)O,25,4.602059991
MMV1899685,C1C(CC12NC(c3cnc(c(c3)Cl)N4CCN(CC4)c5ccncc5)=O)C2,6.79,5.168130226
MMV1899686,CN(CCC1NC(=O)c2cc(Cl)c(N3CCN(c4ccncc4)CC3)nc2)CC1,1.67,5.777283529
MMV1899687,C1COCCC1CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,20.45,4.689306688
MMV1899688,N#Cc(cc1NC(=O)c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)ccc1,0.643,6.191789027
MMV1899689,O=C(c1cnc(c(c1)Cl)N2CCN(CC2)c3ccncc3)Nc4cccc(c4)C(=O)N,25,4.602059991
MMV1899690,O=C(c1cnc(c(c1)Cl)N2CCN(CC2)c3ccncc3)Nc4ccc(F)c(c4)Cl,0.371,6.43062609
MMV1803899,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCN(c4cc(C)ncc4)CC3)nc1,0.367,6.435333936
MMV1803900,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCN(c4ccccc4C)CC3)nc1,8.18,5.087246696
MMV892566,C(F)(F)(F)c1cc(NC(c2cc(Cl)c(N3CCN(c4ccncc4)CC3)nc2)=O)ccn1,0.273,6.563837353
MMV893309,c(nccc1NC(c2cc(Cl)c(N3CC(CC34)N(c5ccncc5)C4)nc2)=O)c1,0.297,6.527243551
MMV1803905,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCC(c4ccncc4)CC3)nc1,6.74,5.171340103
MMV1804112,c1c(C(=O)Nc2cccc(Cl)c2)c(Cl)c(N3CCN(c4ccncc4)CC3)nc1,2.27,5.643974143
MMV1804208,c1(C(=O)Nc2cc(Cl)ccc2)ccc(N3CCN(c4ccncc4)CC3)nn1,3.46,5.460923901
MMV1804320,CN(C(c1cnc(c(c1)Cl)N2CCN(CC2)c3c(cccc3)C)=O)C,25,4.602059991
MMV1804321,C1CCCC1NC(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,4,5.397940009
MMV1804392,C1CCC1NC(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,0.996,6.001740662
MMV1804393,Cc(c1N(CC2)CCN2c(ncc3C(N)=O)c(c3)Cl)cccc1,25,4.602059991
MMV1804634,c(c(ncc1C(NC2COC2)=O)N3CCN(CC3)c4c(cccc4)C)(c1)Cl,3.5,5.455931956
MMV1846944,C1CCN1C(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,8.33,5.079354999
MMV1846945,C1CCCN1C(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,5.67,5.246416941
MMV1847423,C1CCCN1C(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccnc(c4)C)=O,25,4.602059991
MMV1847424,Cc(nccc1N(CCN2c(ncc3C(NC4CCCC4)=O)c(c3)Cl)CC2)c1,4.6,5.337242168
MMV1848187,C1CC1CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,0.309,6.510041521
MMV1803902,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCC(Oc4ccncc4)CC3)nc1,5.42,5.266000713
MMV1803903,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCN(Cc4ccncc4)CC3)nc1,11.4,4.943095149
MMV1803904,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CCn(c(C)nn4)c4C3)nc1,25,4.602059991
MMV1965003,C1CCCN(C1)c2nccc(c2)Nc3ncc(cc3Cl)C(=O)Nc4cc(ccc4)Cl,0.223,6.651695137
MMV1901687,c1c(cccc1C(C)Oc2cc(Cl)c(nc2)N3CCN(c4ccncc4)CC3)Cl,1.69,5.772113295
MMV1901688,c1cnccc1Nc2ncc(cc2Cl)C(Nc3cccc(Cl)c3)=O,0.759,6.119758224
